internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22693289,Tringa brevipes,"Heteroscelus brevipes (Vieillot, 1816)",Heteroscelus,brevipes,"(Vieillot, 1816)",,
22693305,Tringa incana,Tringa incana Turbott (1990),Tringa,incana,Turbott (1990),,
22693305,Tringa incana,"Tringa incana Sibley and Monroe (1990, 1993)",Tringa,incana,"Sibley and Monroe (1990, 1993)",,
22693305,Tringa incana,Tringa incana AOU checklist (1998 + supplements),Tringa,incana,AOU checklist (1998 + supplements),,
22693305,Tringa incana,Tringa incana Christidis and Boles (2008),Tringa,incana,Christidis and Boles (2008),,
22693305,Tringa incana,"Heteroscelus incanus (Gmelin, 1789)",Heteroscelus,incanus,"(Gmelin, 1789)",,
22693319,Tringa semipalmata,Tringa semipalmata AOU checklist (1998 + supplements),Tringa,semipalmata,AOU checklist (1998 + supplements),,
22693319,Tringa semipalmata,"Catoptrophorus semipalmatus (Gmelin, 1789)",Catoptrophorus,semipalmatus,"(Gmelin, 1789)",,
22693356,Calidris virgata,"Aphriza virgata (Gmelin, 1789)",Aphriza,virgata,"(Gmelin, 1789)",,
22693437,Calidris himantopus,Micropalama himantopus,Micropalama himantopus,,Stotz et al. (1996),,
22693437,Calidris himantopus,Micropalama himantopus,Micropalama himantopus,,BirdLife International (2004),,
22693437,Calidris himantopus,Micropalama himantopus himantopus Christidis and Boles (1994),Micropalama himantopus,himantopus,Christidis and Boles (1994),,
22693437,Calidris himantopus,Micropalama himantopus,Micropalama himantopus,,Cramp and Simmons (1977-1994),,
22693437,Calidris himantopus,Micropalama himantopus,Micropalama himantopus,,"Sibley and Monroe (1990, 1993)",,
22693472,Steganopus tricolor,Phalaropus tricolor tricolor Stotz et al. (1996),Phalaropus tricolor,tricolor,Stotz et al. (1996),,
22693472,Steganopus tricolor,Phalaropus tricolor tricolor Turbott (1990),Phalaropus tricolor,tricolor,Turbott (1990),,
22693472,Steganopus tricolor,Phalaropus tricolor,Phalaropus tricolor,,SACC (2005),,
22693472,Steganopus tricolor,Phalaropus tricolor,Phalaropus tricolor,,AERC TAC (2003),,
22693472,Steganopus tricolor,Phalaropus tricolor tricolor AOU checklist (1998 + supplements),Phalaropus tricolor,tricolor,AOU checklist (1998 + supplements),,
22693472,Steganopus tricolor,Phalaropus tricolor tricolor Cramp and Simmons (1977-1994),Phalaropus tricolor,tricolor,Cramp and Simmons (1977-1994),,
22693520,Nycticryphes semicollaris,Nycticryphes semicollaris Stotz et al. (1996),Nycticryphes,semicollaris,Stotz et al. (1996),,
22693520,Nycticryphes semicollaris,Nycticryphes semicollaris SACC (2005),Nycticryphes,semicollaris,SACC (2005),,
22693520,Nycticryphes semicollaris,"Rostratula semicollaris (Vieillot, 1816)",Rostratula,semicollaris,"(Vieillot, 1816)",,
