"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"20059",20059,"231",0.985619199228918,0.985619199228918,0.985619199228918,0.985619199228918,0.985619199228918,0.985619199228918,0.985619199228918,NA,NA,NA,7,7,7,7
"20060",20060,"232",1.42230529309854,1.42230529309854,1.42230529309854,1.42230529309854,1.42230529309854,1.42230529309854,1.42230529309854,NA,NA,NA,9,9,9,9
"20061",20061,"233",1.33552181398221,1.33552181398221,1.33552181398221,1.33552181398221,1.33552181398221,1.33552181398221,1.33552181398221,NA,NA,NA,10,10,10,10
"20174",20174,"234",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20183",20183,"235",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"20184",20184,"236",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"20185",20185,"237",1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,NA,NA,NA,6,6,6,6
"20186",20186,"238",1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,NA,NA,NA,7,7,7,7
"20187",20187,"239",1.15506734555539,1.15506734555539,1.15506734555539,1.15506734555539,1.15506734555539,1.15506734555539,1.15506734555539,NA,NA,NA,9,9,9,9
"20208",20208,"240",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20209",20209,"241",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20325",20325,"242",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20326",20326,"243",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20327",20327,"244",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20328",20328,"245",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20329",20329,"246",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"20330",20330,"247",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"20331",20331,"248",1.1313645375097,1.1313645375097,1.1313645375097,1.1313645375097,1.1313645375097,1.1313645375097,1.1313645375097,NA,NA,NA,4,4,4,4
